rh.BA.volume	rh_BA1_volume	rh_BA2_volume	rh_BA3a_volume	rh_BA3b_volume	rh_BA4a_volume	rh_BA4p_volume	rh_BA6_volume	rh_BA44_volume	rh_BA45_volume	rh_V1_volume	rh_V2_volume	rh_MT_volume	rh_perirhinal_volume
6035/	1858.0	4244.0	1150.0	3629.0	3044.0	2124.0	21815.0	9076.0	10659.0	6090.0	14873.0	4596.0	2189.0
6040/	1934.0	5979.0	984.0	2952.0	2628.0	2138.0	20889.0	8303.0	12490.0	6578.0	17951.0	3339.0	2342.0
6044/	1552.0	4755.0	1119.0	2843.0	2460.0	2076.0	15238.0	6222.0	7612.0	4510.0	13421.0	3525.0	1398.0
6045/	1910.0	4940.0	1258.0	3396.0	3045.0	2278.0	19348.0	7849.0	9740.0	3996.0	11843.0	3631.0	2188.0
6057/	1479.0	3247.0	876.0	2147.0	2738.0	1684.0	15058.0	6918.0	7831.0	3711.0	10693.0	2807.0	1730.0
6058/	1656.0	4581.0	1144.0	2879.0	2936.0	2065.0	15556.0	6941.0	9397.0	4024.0	13637.0	3494.0	1681.0
6060/	1581.0	3674.0	913.0	2328.0	3485.0	2008.0	17989.0	10195.0	8577.0	5753.0	12936.0	2693.0	1915.0
6102/	1584.0	4100.0	1026.0	2941.0	3101.0	2258.0	17691.0	7644.0	8971.0	4617.0	11242.0	3757.0	2154.0
6103/	1711.0	5221.0	1135.0	3042.0	2787.0	2214.0	16512.0	7042.0	8949.0	6396.0	15134.0	3789.0	2120.0
6105/	1952.0	5549.0	1055.0	2993.0	3026.0	2102.0	19539.0	7860.0	10043.0	6151.0	15019.0	3582.0	2419.0
6138/	1392.0	3313.0	775.0	2389.0	2623.0	1645.0	13224.0	5072.0	6921.0	3504.0	9515.0	2808.0	1762.0
6149/	2014.0	5339.0	991.0	2819.0	3407.0	1932.0	18326.0	7967.0	10186.0	5082.0	13225.0	2800.0	2870.0
6162/	1626.0	4672.0	904.0	2330.0	2451.0	1828.0	13771.0	6822.0	6979.0	4474.0	10049.0	2917.0	1655.0
6163/	1912.0	5683.0	1019.0	3241.0	3025.0	2075.0	19661.0	9506.0	10057.0	4057.0	12500.0	4269.0	2110.0
6165/	1773.0	4161.0	1055.0	3180.0	3774.0	2326.0	20931.0	8916.0	9845.0	6712.0	13726.0	4336.0	2165.0
6167/	1362.0	3841.0	883.0	2356.0	2974.0	1953.0	17039.0	7348.0	9039.0	4788.0	11369.0	4088.0	1888.0
6199/	1446.0	4292.0	1087.0	2471.0	3582.0	2101.0	14212.0	6790.0	8509.0	6265.0	12612.0	2883.0	1992.0
6226/	1596.0	4443.0	775.0	2537.0	3045.0	1685.0	16427.0	7062.0	8542.0	3596.0	10260.0	2554.0	1741.0
6227/	1771.0	5002.0	1028.0	2934.0	3156.0	1946.0	20486.0	7790.0	9597.0	5402.0	13578.0	3549.0	2116.0
6228/	1865.0	5287.0	1080.0	2771.0	2912.0	2209.0	16601.0	6364.0	8237.0	6010.0	12975.0	2809.0	1838.0
6229/	1680.0	4675.0	995.0	2725.0	3702.0	2240.0	22730.0	8967.0	10468.0	6049.0	14411.0	3481.0	2036.0
6291/	1308.0	3119.0	736.0	2040.0	1893.0	1259.0	12158.0	6303.0	7559.0	4008.0	8541.0	1883.0	1723.0
6347/	1715.0	5094.0	1000.0	2713.0	3161.0	2208.0	17488.0	6159.0	7969.0	4834.0	12434.0	2992.0	1949.0
6348/	1805.0	4351.0	1102.0	2948.0	2831.0	2314.0	15276.0	5681.0	8411.0	4523.0	10366.0	2309.0	2390.0
6503/	1858.0	6481.0	868.0	2439.0	2761.0	1612.0	18044.0	7785.0	7850.0	5235.0	14621.0	4240.0	1215.0
6512/	1583.0	4832.0	1108.0	2649.0	2842.0	1928.0	16907.0	6083.0	8569.0	4824.0	10293.0	2747.0	1838.0
6613/	1900.0	4413.0	1135.0	3023.0	3848.0	2148.0	21644.0	8430.0	9597.0	5316.0	14536.0	4786.0	1756.0
6712/	1306.0	3815.0	780.0	2006.0	2203.0	1393.0	11196.0	4624.0	5989.0	4618.0	9513.0	2812.0	1732.0
6730/	1524.0	4679.0	840.0	2384.0	2854.0	1623.0	15061.0	7225.0	8494.0	3757.0	9764.0	3270.0	1650.0
6731/	1778.0	5105.0	927.0	2458.0	2794.0	1660.0	18152.0	8108.0	10202.0	3905.0	13260.0	3334.0	2003.0
6732/	1347.0	3818.0	935.0	2275.0	2953.0	2019.0	16530.0	6828.0	7099.0	4484.0	11988.0	3278.0	1384.0
6738/	1799.0	5276.0	1062.0	2909.0	2967.0	2234.0	20732.0	8411.0	9189.0	6398.0	16278.0	3318.0	2087.0
6741/	1600.0	4685.0	940.0	2700.0	3565.0	2047.0	19777.0	7568.0	10759.0	5444.0	12854.0	3606.0	2030.0
6802/	2061.0	5181.0	968.0	2990.0	2798.0	2023.0	17273.0	8191.0	10069.0	6868.0	15649.0	2851.0	2708.0
6863/	1949.0	4576.0	995.0	2729.0	2959.0	1666.0	17072.0	7632.0	8394.0	4603.0	12066.0	3351.0	1983.0
6888/	1666.0	4686.0	1031.0	2637.0	2769.0	2228.0	16490.0	7063.0	8670.0	5023.0	11299.0	3634.0	2118.0
6908/	1565.0	3880.0	1281.0	2838.0	3432.0	2322.0	17967.0	7364.0	8347.0	3881.0	11327.0	4394.0	1638.0
6909/	1503.0	3979.0	770.0	2280.0	2385.0	1603.0	15146.0	7162.0	9447.0	3966.0	11170.0	2875.0	1953.0
6955/	1792.0	4661.0	1059.0	3071.0	3062.0	2111.0	18903.0	8647.0	12117.0	6628.0	14638.0	4354.0	2072.0
6957/	1711.0	4599.0	1000.0	2533.0	2454.0	1834.0	14849.0	5786.0	6608.0	4592.0	9752.0	2544.0	1852.0
6958/	1518.0	3758.0	966.0	2818.0	2878.0	2023.0	17645.0	6504.0	9758.0	5355.0	12743.0	3300.0	1997.0
6964/	1606.0	3962.0	868.0	2399.0	2308.0	1782.0	14478.0	7101.0	6032.0	3602.0	11349.0	3153.0	2145.0
6965/	1616.0	4661.0	1044.0	2514.0	3175.0	2122.0	21389.0	7372.0	9686.0	4528.0	11586.0	4719.0	2333.0
6983/	1579.0	4727.0	1245.0	2863.0	3054.0	2431.0	16777.0	5566.0	9022.0	6254.0	12765.0	2971.0	1525.0
6985/	1215.0	3036.0	957.0	2731.0	2612.0	2150.0	14788.0	6377.0	7411.0	4030.0	10915.0	2709.0	1825.0
7105/	1510.0	4163.0	1056.0	2838.0	2386.0	1975.0	15079.0	6500.0	6763.0	4850.0	10736.0	2633.0	1630.0
7106/	1423.0	4138.0	946.0	2579.0	3087.0	2478.0	18104.0	6044.0	9776.0	4398.0	10659.0	2441.0	1781.0
7108/	1495.0	3873.0	1160.0	3045.0	1974.0	1667.0	14688.0	6450.0	7188.0	4385.0	10659.0	2938.0	2102.0
7151/	1651.0	4983.0	964.0	2591.0	3192.0	2067.0	18088.0	8010.0	8498.0	5023.0	12707.0	3585.0	1549.0
7152/	1424.0	4227.0	998.0	2433.0	2464.0	1958.0	13093.0	5003.0	7354.0	4708.0	11253.0	2753.0	1285.0
7163/	1762.0	4464.0	992.0	2500.0	2517.0	1965.0	15309.0	7569.0	9221.0	5191.0	12280.0	3188.0	1836.0
7168/	1933.0	5372.0	961.0	2517.0	3233.0	1876.0	20671.0	9014.0	9034.0	5861.0	15836.0	4579.0	2292.0
7170/	2165.0	5385.0	1045.0	2969.0	3617.0	1936.0	20969.0	7942.0	10580.0	4449.0	13023.0	4202.0	1830.0
7206/	1434.0	4417.0	879.0	2384.0	2569.0	1738.0	16590.0	6595.0	9989.0	4822.0	10970.0	3228.0	2230.0
7207/	1404.0	3621.0	744.0	2458.0	2524.0	1535.0	16062.0	7232.0	9718.0	4496.0	11525.0	3151.0	1836.0
7229/	1862.0	5415.0	888.0	2942.0	3294.0	1826.0	16896.0	7097.0	8818.0	5796.0	12237.0	3529.0	2004.0
7230/	1833.0	5275.0	1340.0	3354.0	3324.0	2010.0	18831.0	8481.0	8056.0	6469.0	13768.0	2600.0	1508.0
7286/	2176.0	5163.0	924.0	2885.0	2861.0	1612.0	19674.0	8280.0	11170.0	4883.0	12289.0	3349.0	2450.0
7287/	2066.0	4629.0	1032.0	2971.0	3146.0	2042.0	21800.0	8193.0	11378.0	5532.0	14148.0	3257.0	2465.0
7289/	1732.0	4949.0	1038.0	2849.0	3070.0	1977.0	16808.0	7710.0	9908.0	5201.0	11577.0	2370.0	2336.0
7290/	1318.0	4024.0	801.0	2158.0	2473.0	1572.0	17904.0	5923.0	7518.0	4397.0	9301.0	2336.0	1837.0
7293/	2008.0	6036.0	1020.0	2811.0	2792.0	1945.0	17678.0	8149.0	9644.0	5125.0	12365.0	4143.0	1624.0
7321/	1612.0	5009.0	917.0	2676.0	3161.0	1901.0	17439.0	6810.0	9790.0	6374.0	13467.0	3339.0	1668.0
7341/	1516.0	3632.0	909.0	2396.0	2852.0	1825.0	16682.0	7134.0	7936.0	4822.0	11304.0	2617.0	1783.0
7366/	2129.0	5286.0	1636.0	3790.0	3594.0	2706.0	16669.0	7220.0	8838.0	5436.0	11522.0	3486.0	1897.0
7367/	2632.0	6788.0	1003.0	3137.0	3150.0	2109.0	18591.0	9420.0	11602.0	5789.0	15045.0	3554.0	2670.0
7368/	2263.0	5008.0	1148.0	3025.0	3614.0	2233.0	15572.0	6469.0	8649.0	4764.0	12309.0	3705.0	1964.0
