rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
6752/	638.0	86.0	1240.0	675.0	0.0	1502.0	5741.0	2530.0	23.0	5359.0	1164.0	399.0	929.0	3411.0	0.0	1214.0	947.0	488.0	782.0	465.0	2925.0	255.0	3154.0	1908.0	243.0	3425.0	3695.0	4882.0	1549.0	1906.0	653.0	2.0	120.0	625.0
6802/	2087.0	1813.0	7617.0	4738.0	2295.0	11746.0	15485.0	9111.0	2518.0	12512.0	7896.0	8028.0	4598.0	12518.0	1886.0	4435.0	4677.0	2463.0	4874.0	3492.0	10464.0	3234.0	14474.0	10211.0	1964.0	16209.0	23451.0	15034.0	11037.0	9395.0	1216.0	2204.0	959.0	6956.0
6863/	2053.0	2746.0	8682.0	3321.0	1965.0	11559.0	14163.0	9351.0	2554.0	13452.0	7651.0	5512.0	5882.0	13256.0	1851.0	3695.0	3858.0	2810.0	3808.0	2035.0	9638.0	2809.0	13723.0	11490.0	2826.0	20834.0	21971.0	15352.0	11373.0	12218.0	1084.0	1162.0	964.0	7053.0
6888/	2238.0	1901.0	5541.0	2898.0	1563.0	8709.0	15529.0	10904.0	1680.0	11058.0	7532.0	6663.0	5289.0	11717.0	2305.0	4681.0	3716.0	2857.0	3592.0	2481.0	9197.0	2645.0	14570.0	10187.0	2119.0	17442.0	22153.0	14261.0	12354.0	10255.0	1184.0	2035.0	894.0	6297.0
6908/	1662.0	1763.0	6726.0	2568.0	1334.0	8878.0	13486.0	9619.0	2263.0	11460.0	6955.0	6286.0	5506.0	12406.0	1726.0	5258.0	4546.0	2530.0	4071.0	1786.0	9130.0	3284.0	13901.0	8347.0	1736.0	17223.0	22045.0	12919.0	10935.0	9248.0	1102.0	1727.0	709.0	7363.0
6909/	1702.0	2028.0	5447.0	2817.0	1292.0	8981.0	11542.0	8118.0	2391.0	10181.0	6224.0	6302.0	4608.0	10179.0	2070.0	3248.0	3920.0	2514.0	4969.0	1663.0	7888.0	3004.0	13654.0	8841.0	2182.0	12331.0	19101.0	10338.0	11376.0	10457.0	989.0	1500.0	1303.0	7068.0
6955/	2721.0	2405.0	7143.0	2594.0	2014.0	10341.0	17495.0	12317.0	3587.0	15331.0	8012.0	9751.0	6399.0	13890.0	2635.0	5062.0	5016.0	3273.0	6377.0	3108.0	10063.0	4149.0	15092.0	10531.0	2476.0	19449.0	27806.0	14097.0	13573.0	12237.0	1605.0	2196.0	847.0	8690.0
6957/	2488.0	2063.0	5016.0	2289.0	1477.0	8419.0	13932.0	8631.0	1860.0	8420.0	6014.0	6659.0	4031.0	10629.0	1847.0	3394.0	3369.0	2187.0	3076.0	2186.0	9159.0	2074.0	12017.0	8678.0	2100.0	12837.0	18517.0	11698.0	12884.0	9495.0	692.0	2146.0	773.0	6316.0
6958/	2574.0	2572.0	5366.0	3180.0	1537.0	9520.0	16275.0	10022.0	2559.0	12128.0	6214.0	7327.0	5486.0	12484.0	2461.0	3979.0	4236.0	2874.0	5363.0	2773.0	8591.0	3102.0	13143.0	9413.0	2038.0	16643.0	23969.0	12193.0	13384.0	11051.0	1242.0	2069.0	1011.0	8036.0
6964/	2407.0	1786.0	5201.0	2614.0	1521.0	8398.0	15530.0	8917.0	1901.0	10386.0	7504.0	6520.0	4282.0	11534.0	2333.0	3222.0	4100.0	2091.0	2876.0	1665.0	8709.0	2059.0	11931.0	8512.0	1991.0	12603.0	18221.0	10429.0	10528.0	8750.0	818.0	1864.0	787.0	6522.0
6965/	2893.0	2522.0	6318.0	3004.0	1511.0	11534.0	20140.0	12945.0	3153.0	12633.0	8252.0	6940.0	5900.0	12691.0	2988.0	4404.0	5130.0	3349.0	4889.0	2018.0	9428.0	4656.0	16040.0	11788.0	2447.0	18041.0	25758.0	15504.0	13098.0	12476.0	1337.0	1263.0	1205.0	7627.0
6983/	2093.0	2276.0	6154.0	3238.0	1408.0	9966.0	15653.0	10272.0	2586.0	10379.0	7869.0	7731.0	5309.0	12593.0	2083.0	3717.0	3424.0	2303.0	4824.0	3207.0	9298.0	3206.0	14745.0	9365.0	2259.0	19118.0	19996.0	13845.0	12076.0	8145.0	1020.0	2032.0	1020.0	6481.0
6985/	2161.0	1905.0	4998.0	2523.0	1405.0	8168.0	14406.0	9002.0	1981.0	9462.0	6654.0	6238.0	4793.0	10993.0	2208.0	3368.0	3917.0	2221.0	3887.0	2156.0	7360.0	2693.0	11623.0	9125.0	2067.0	13183.0	18890.0	10854.0	10011.0	9133.0	864.0	1693.0	632.0	6685.0
7041/	72.0	35.0	87.0	0.0	0.0	0.0	348.0	9.0	0.0	291.0	140.0	0.0	88.0	106.0	0.0	80.0	63.0	30.0	78.0	0.0	238.0	29.0	268.0	92.0	38.0	209.0	350.0	259.0	117.0	242.0	0.0	0.0	7.0	166.0
7055/	593.0	0.0	506.0	0.0	0.0	7.0	1936.0	24.0	0.0	1639.0	607.0	128.0	90.0	496.0	0.0	15.0	469.0	168.0	362.0	23.0	1194.0	0.0	1916.0	6.0	5.0	1968.0	1139.0	1769.0	992.0	1657.0	0.0	0.0	66.0	633.0
7105/	1757.0	2913.0	6112.0	2939.0	1451.0	6825.0	12389.0	8461.0	2403.0	10155.0	6533.0	5922.0	4388.0	10840.0	1732.0	2936.0	3571.0	2189.0	3175.0	2435.0	8701.0	2966.0	13225.0	7526.0	2252.0	13721.0	16680.0	11438.0	10054.0	7980.0	1001.0	1803.0	692.0	6087.0
7106/	2710.0	1554.0	3949.0	2716.0	1436.0	7857.0	12645.0	9914.0	2323.0	9708.0	5854.0	6014.0	4607.0	12212.0	2111.0	3399.0	3638.0	2641.0	5651.0	1983.0	8374.0	2816.0	14277.0	8572.0	1697.0	13798.0	22830.0	12195.0	11918.0	10035.0	1031.0	1968.0	973.0	6613.0
7108/	2112.0	2497.0	4562.0	1872.0	1574.0	10090.0	13524.0	8392.0	2881.0	10017.0	6661.0	7902.0	5409.0	12108.0	2638.0	2680.0	3923.0	2564.0	3479.0	1643.0	8748.0	2986.0	11619.0	9344.0	2822.0	15964.0	19323.0	12103.0	11351.0	7703.0	1352.0	1807.0	1088.0	5645.0
7118/	532.0	50.0	1677.0	0.0	105.0	274.0	1997.0	598.0	0.0	0.0	1095.0	0.0	0.0	1590.0	9.0	0.0	608.0	287.0	670.0	0.0	1770.0	0.0	1651.0	0.0	0.0	2952.0	1782.0	483.0	2514.0	1963.0	1.0	125.0	218.0	2120.0
7148/	448.0	0.0	851.0	209.0	1181.0	1250.0	3347.0	1236.0	0.0	2433.0	2770.0	330.0	2662.0	1341.0	34.0	1238.0	1326.0	161.0	740.0	104.0	2944.0	161.0	3901.0	912.0	864.0	3260.0	5050.0	3511.0	1729.0	2303.0	607.0	474.0	159.0	2076.0
7151/	2677.0	2318.0	4236.0	3241.0	1308.0	10780.0	17026.0	10144.0	2413.0	11107.0	6345.0	7016.0	5916.0	12791.0	1816.0	3392.0	4754.0	2264.0	4445.0	2369.0	9300.0	3204.0	15053.0	10542.0	2602.0	14572.0	23250.0	14164.0	12791.0	10338.0	1253.0	1339.0	1081.0	6869.0
7152/	1805.0	1586.0	4882.0	2901.0	1131.0	6459.0	11354.0	7867.0	2261.0	11794.0	6119.0	5517.0	4862.0	9663.0	1567.0	3868.0	3451.0	2426.0	3564.0	2427.0	8276.0	2700.0	10398.0	7680.0	1862.0	11571.0	18029.0	11564.0	9152.0	8685.0	933.0	2194.0	860.0	5951.0
7163/	2333.0	1214.0	5423.0	2994.0	1130.0	9439.0	17472.0	9291.0	2650.0	12239.0	6217.0	6846.0	4707.0	12895.0	1766.0	3704.0	4229.0	2214.0	4362.0	2321.0	8910.0	2726.0	12705.0	8747.0	1906.0	18277.0	21548.0	11024.0	11367.0	8993.0	990.0	1462.0	957.0	6291.0
7168/	3857.0	2693.0	7796.0	3434.0	1655.0	9180.0	21385.0	13050.0	3057.0	16066.0	9355.0	9426.0	6726.0	17381.0	2757.0	5203.0	5269.0	3732.0	3844.0	2430.0	9718.0	3502.0	14619.0	9673.0	2962.0	20990.0	29730.0	14422.0	16763.0	11919.0	1459.0	2592.0	964.0	8316.0
7170/	4149.0	3935.0	9971.0	3062.0	1497.0	12235.0	18810.0	12649.0	3284.0	14945.0	9076.0	5875.0	6857.0	15833.0	1949.0	5039.0	5353.0	3362.0	4797.0	1989.0	11245.0	4014.0	15868.0	12492.0	3608.0	22906.0	25338.0	14068.0	13258.0	11549.0	1060.0	1489.0	1300.0	8441.0
7206/	2741.0	2112.0	5935.0	2926.0	2081.0	10966.0	14992.0	10832.0	2205.0	9823.0	8457.0	6991.0	5627.0	12529.0	2403.0	3330.0	3976.0	3526.0	4708.0	2344.0	8651.0	3399.0	12642.0	8939.0	2191.0	16938.0	22175.0	14511.0	13502.0	13644.0	1011.0	2212.0	1031.0	6699.0
7207/	2719.0	2267.0	6105.0	2628.0	1550.0	10798.0	13922.0	10125.0	2044.0	11214.0	8539.0	7161.0	5873.0	12488.0	2406.0	3637.0	4272.0	3274.0	4609.0	2151.0	8070.0	3450.0	11672.0	10222.0	2737.0	16609.0	21874.0	12662.0	13896.0	11329.0	1146.0	2252.0	1000.0	5944.0
7229/	3120.0	1385.0	6302.0	3095.0	1415.0	8229.0	15426.0	11483.0	2221.0	10651.0	6403.0	7699.0	5010.0	12630.0	2065.0	4551.0	4739.0	2162.0	4765.0	2843.0	10182.0	3676.0	12186.0	10307.0	1156.0	12848.0	23957.0	12014.0	12224.0	10005.0	1111.0	1798.0	978.0	6586.0
7230/	2928.0	1987.0	7622.0	3785.0	1112.0	8732.0	15785.0	7762.0	2523.0	11626.0	6937.0	8240.0	4652.0	9997.0	2558.0	5193.0	4477.0	2527.0	4225.0	3391.0	10698.0	3419.0	15330.0	8672.0	1712.0	13438.0	23801.0	14133.0	12183.0	12265.0	975.0	1266.0	1020.0	6504.0
7286/	3072.0	1606.0	8420.0	3385.0	2556.0	11081.0	15746.0	11516.0	3349.0	11423.0	8078.0	7711.0	6772.0	13536.0	2335.0	3642.0	5566.0	3522.0	5419.0	2184.0	10565.0	3337.0	14475.0	11819.0	2670.0	18658.0	25655.0	15542.0	14354.0	17273.0	1627.0	2472.0	1065.0	7794.0
7287/	2733.0	1861.0	9119.0	3361.0	2011.0	10110.0	15598.0	11350.0	2700.0	13603.0	9065.0	8207.0	7055.0	15243.0	2370.0	3889.0	4951.0	3153.0	6743.0	2548.0	10925.0	3865.0	16355.0	13831.0	2473.0	22490.0	27525.0	15485.0	17663.0	16297.0	1015.0	1968.0	1333.0	9244.0
7289/	2316.0	2701.0	6680.0	2521.0	1312.0	8852.0	13669.0	9084.0	2601.0	10380.0	7581.0	7368.0	5833.0	13434.0	2336.0	3859.0	4990.0	3121.0	5296.0	2259.0	9774.0	3660.0	13432.0	10463.0	2291.0	16663.0	21657.0	13700.0	13758.0	11609.0	873.0	2424.0	1303.0	7580.0
7290/	2101.0	1534.0	4469.0	2680.0	1407.0	7518.0	11894.0	7540.0	1692.0	8786.0	6064.0	4849.0	5726.0	8937.0	1989.0	3286.0	4235.0	2044.0	3829.0	2220.0	7460.0	2118.0	12782.0	8614.0	1505.0	13416.0	22665.0	11504.0	10691.0	9886.0	1059.0	2427.0	775.0	6661.0
7293/	2553.0	1856.0	8985.0	3436.0	1206.0	10323.0	14804.0	12407.0	2432.0	12875.0	7283.0	6864.0	5384.0	11803.0	1973.0	4157.0	4875.0	2467.0	5462.0	2652.0	10526.0	3413.0	13725.0	11698.0	2102.0	18077.0	24319.0	15565.0	12662.0	14618.0	1532.0	2408.0	889.0	7096.0
7321/	2304.0	3051.0	6666.0	3371.0	1625.0	9174.0	17548.0	11447.0	2836.0	11054.0	7713.0	8453.0	5084.0	13230.0	2226.0	4389.0	3123.0	3388.0	4278.0	2867.0	8981.0	3535.0	13917.0	10300.0	2399.0	21136.0	21700.0	13605.0	11938.0	9579.0	1267.0	1262.0	752.0	8254.0
7341/	2571.0	1716.0	5910.0	3314.0	1484.0	9234.0	13846.0	8948.0	2274.0	8856.0	6065.0	6828.0	5221.0	11272.0	1844.0	4229.0	4725.0	2440.0	3940.0	2526.0	7544.0	2894.0	12278.0	8510.0	1808.0	13842.0	22794.0	12264.0	10286.0	9083.0	957.0	1599.0	870.0	5895.0
7359/	10.0	0.0	1628.0	29.0	0.0	0.0	1364.0	0.0	0.0	0.0	413.0	263.0	307.0	0.0	0.0	0.0	983.0	0.0	253.0	204.0	3446.0	0.0	3372.0	10.0	0.0	2293.0	1253.0	2618.0	98.0	2778.0	50.0	0.0	106.0	1561.0
7366/	2282.0	2518.0	6484.0	3240.0	1551.0	11094.0	16348.0	10555.0	2439.0	10614.0	7086.0	6515.0	5850.0	12573.0	2239.0	5537.0	4020.0	2730.0	4180.0	2844.0	12370.0	2919.0	14451.0	8157.0	2335.0	19263.0	23103.0	10434.0	13553.0	11678.0	1426.0	1603.0	979.0	8182.0
7367/	3035.0	3026.0	8224.0	3507.0	1772.0	13105.0	20363.0	16989.0	4093.0	13126.0	9263.0	9019.0	6143.0	15862.0	2673.0	4139.0	6716.0	3150.0	5815.0	2634.0	11997.0	3908.0	14627.0	12996.0	2777.0	21083.0	27017.0	18637.0	12935.0	14465.0	963.0	2545.0	1019.0	9345.0
7368/	2338.0	2294.0	7458.0	3328.0	1884.0	9193.0	19635.0	12513.0	2485.0	11801.0	6999.0	6899.0	4648.0	14074.0	1805.0	4266.0	3590.0	2800.0	4444.0	2237.0	10423.0	3372.0	14043.0	9162.0	2191.0	17159.0	20367.0	15079.0	12452.0	10188.0	914.0	2154.0	894.0	6789.0
7515/	359.0	4.0	933.0	584.0	675.0	1489.0	5926.0	845.0	5.0	3539.0	1372.0	660.0	1248.0	1752.0	1084.0	250.0	925.0	266.0	426.0	334.0	2759.0	0.0	2854.0	439.0	448.0	1824.0	1518.0	3683.0	1876.0	2670.0	86.0	489.0	112.0	1838.0
7516/	2239.0	1376.0	6141.0	3729.0	1980.0	8732.0	13975.0	9512.0	2507.0	13307.0	6646.0	8129.0	6048.0	11855.0	2306.0	4827.0	4145.0	2283.0	4794.0	2827.0	11115.0	3177.0	13037.0	10580.0	2346.0	17746.0	23964.0	13146.0	10736.0	11312.0	1228.0	1876.0	1079.0	6833.0
7576/	785.0	507.0	642.0	144.0	965.0	747.0	2561.0	938.0	0.0	1056.0	785.0	179.0	690.0	860.0	185.0	881.0	296.0	135.0	415.0	311.0	1925.0	0.0	1736.0	1201.0	425.0	1731.0	4343.0	3188.0	716.0	1760.0	39.0	171.0	45.0	1539.0
7581/	514.0	72.0	1729.0	997.0	99.0	2535.0	5889.0	2305.0	788.0	4286.0	1828.0	2011.0	2089.0	3619.0	335.0	848.0	1621.0	653.0	2917.0	1025.0	3420.0	276.0	4365.0	3685.0	233.0	7647.0	3940.0	4987.0	2978.0	4234.0	162.0	291.0	156.0	2038.0
7620/	475.0	108.0	1641.0	1131.0	426.0	3040.0	5763.0	2885.0	599.0	3596.0	1718.0	1828.0	1379.0	3162.0	885.0	1856.0	897.0	476.0	1343.0	794.0	4083.0	344.0	3890.0	3268.0	169.0	2921.0	6565.0	6012.0	2472.0	3717.0	550.0	553.0	199.0	2401.0
7636/	29.0	0.0	2256.0	496.0	0.0	34.0	1851.0	119.0	42.0	1974.0	174.0	398.0	23.0	57.0	0.0	532.0	663.0	101.0	611.0	512.0	1999.0	0.0	6176.0	1228.0	4.0	2399.0	2307.0	2683.0	246.0	2353.0	32.0	0.0	75.0	405.0
7690/	1528.0	2179.0	6813.0	3073.0	2076.0	8986.0	11652.0	10801.0	2789.0	12006.0	7567.0	6755.0	5495.0	10844.0	2340.0	3494.0	3654.0	2628.0	4555.0	2327.0	9179.0	2777.0	13009.0	9912.0	1715.0	14555.0	19936.0	11451.0	11194.0	10754.0	1053.0	2267.0	1083.0	6263.0
7802/	2079.0	2318.0	7039.0	2938.0	1664.0	7408.0	11457.0	12147.0	2332.0	9994.0	7393.0	5932.0	5273.0	12351.0	2261.0	4776.0	3907.0	2429.0	4822.0	1891.0	10207.0	2723.0	15138.0	10765.0	2784.0	16322.0	21186.0	15178.0	12769.0	11372.0	1015.0	2040.0	1326.0	6784.0
7803/	2305.0	2601.0	7536.0	3000.0	1197.0	9977.0	13151.0	10679.0	2599.0	12705.0	8824.0	6366.0	5559.0	10859.0	1804.0	4095.0	5535.0	2714.0	3924.0	1839.0	8919.0	4157.0	13044.0	9329.0	2385.0	15372.0	25280.0	13730.0	12836.0	10154.0	1029.0	1910.0	1180.0	8251.0
7831/	935.0	3371.0	556.0	710.0	39.0	101.0	4677.0	295.0	988.0	1099.0	2065.0	580.0	1377.0	401.0	61.0	1684.0	1060.0	454.0	948.0	537.0	2543.0	2975.0	2491.0	3236.0	1409.0	1868.0	4421.0	4273.0	1718.0	3943.0	168.0	315.0	107.0	2429.0
7895/	2174.0	1574.0	5101.0	2264.0	1652.0	8929.0	13079.0	7723.0	1852.0	11018.0	5273.0	6585.0	3533.0	10091.0	1772.0	2795.0	2740.0	1907.0	3621.0	1826.0	8022.0	1982.0	12937.0	8010.0	1806.0	11768.0	15779.0	9859.0	10219.0	7688.0	804.0	1686.0	755.0	4952.0
7904/	2360.0	2519.0	7355.0	4295.0	1857.0	11788.0	15918.0	10922.0	2979.0	13244.0	6836.0	7981.0	5378.0	13932.0	2080.0	4162.0	4310.0	2593.0	4321.0	3125.0	9476.0	3494.0	14914.0	11065.0	1974.0	17925.0	25298.0	14485.0	11834.0	13674.0	1406.0	2447.0	1051.0	6472.0
7906/	2353.0	2052.0	4835.0	2621.0	1246.0	7622.0	12359.0	8876.0	2141.0	11540.0	6359.0	5310.0	4763.0	11276.0	1800.0	3682.0	3229.0	2704.0	3686.0	1687.0	7846.0	2710.0	11229.0	9429.0	2008.0	14073.0	19145.0	11078.0	10634.0	9688.0	1108.0	2029.0	674.0	5489.0
7953/	1973.0	2435.0	6884.0	2884.0	1527.0	7772.0	12585.0	8599.0	1935.0	12012.0	7554.0	6872.0	4660.0	9871.0	1756.0	4825.0	4592.0	2628.0	4877.0	1891.0	8338.0	2803.0	13768.0	8933.0	2642.0	14217.0	20605.0	12141.0	11155.0	9340.0	825.0	2068.0	1004.0	5821.0
7954/	2993.0	2360.0	8420.0	4149.0	1297.0	9294.0	18691.0	12244.0	2832.0	14693.0	8508.0	8406.0	5051.0	14255.0	2487.0	5063.0	4998.0	3361.0	4393.0	2712.0	10636.0	3523.0	18630.0	10473.0	3252.0	22123.0	27296.0	16732.0	13569.0	12385.0	1410.0	1823.0	1204.0	7465.0
7965/	1251.0	5.0	1555.0	0.0	0.0	62.0	5900.0	631.0	0.0	3266.0	608.0	0.0	916.0	803.0	0.0	117.0	690.0	147.0	525.0	0.0	3887.0	0.0	4258.0	26.0	157.0	1994.0	3626.0	2437.0	1151.0	8508.0	44.0	0.0	80.0	846.0
8155/	2310.0	1807.0	6465.0	3031.0	1600.0	10044.0	16047.0	9993.0	1960.0	13843.0	7343.0	7160.0	6066.0	12516.0	1988.0	4347.0	4447.0	2692.0	4693.0	2316.0	10166.0	2298.0	14093.0	10099.0	2257.0	18782.0	23918.0	14099.0	12394.0	10974.0	1025.0	2310.0	1083.0	7276.0
8231/	3404.0	2072.0	5870.0	3820.0	1760.0	11747.0	19276.0	12031.0	2730.0	13037.0	7178.0	6494.0	6408.0	14125.0	2581.0	4807.0	4567.0	3092.0	4868.0	2229.0	9860.0	4246.0	13508.0	10520.0	1288.0	16614.0	27762.0	12824.0	13601.0	11495.0	1209.0	1890.0	1142.0	7257.0
8307/	551.0	1.0	1053.0	713.0	115.0	2142.0	3101.0	2054.0	221.0	2548.0	1395.0	1074.0	998.0	2869.0	100.0	1013.0	911.0	214.0	866.0	561.0	1970.0	26.0	2277.0	1495.0	839.0	4092.0	8120.0	2441.0	2041.0	2586.0	131.0	416.0	82.0	1055.0
8350/	555.0	59.0	1100.0	938.0	551.0	2051.0	5852.0	1955.0	4.0	2808.0	1640.0	1370.0	1050.0	2075.0	386.0	1735.0	1348.0	967.0	768.0	640.0	4863.0	8.0	4115.0	3627.0	91.0	3146.0	3968.0	5511.0	2499.0	4552.0	314.0	651.0	251.0	1893.0
