rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
5771/	2747.0	2300.0	6653.0	3688.0	1731.0	11378.0	15768.0	12204.0	2569.0	14189.0	8282.0	7581.0	6726.0	11905.0	2343.0	3907.0	4737.0	3194.0	5562.0	2456.0	11105.0	3589.0	13687.0	11391.0	1513.0	19285.0	24137.0	15771.0	12701.0	11271.0	934.0	1541.0	1006.0	7258.0
5798/	199.0	161.0	1648.0	273.0	19.0	198.0	4562.0	1109.0	0.0	620.0	1068.0	71.0	959.0	2597.0	0.0	336.0	543.0	265.0	93.0	98.0	3225.0	47.0	2206.0	48.0	10.0	4573.0	5650.0	2764.0	1479.0	3097.0	358.0	213.0	15.0	617.0
5825/	1731.0	2366.0	5875.0	3379.0	1063.0	7569.0	13605.0	10670.0	2508.0	12213.0	6721.0	5993.0	4487.0	9807.0	2199.0	3768.0	4656.0	2024.0	3126.0	1617.0	10536.0	3243.0	13156.0	8468.0	2440.0	14121.0	20455.0	13782.0	11211.0	10053.0	1149.0	1508.0	1014.0	5788.0
5843/	2203.0	1660.0	4411.0	1656.0	1486.0	7064.0	10800.0	7280.0	1577.0	8953.0	5314.0	5444.0	4054.0	8743.0	1712.0	2821.0	3051.0	1795.0	3494.0	1864.0	6845.0	2182.0	10249.0	7019.0	1322.0	10471.0	13948.0	9774.0	9557.0	6835.0	712.0	1966.0	714.0	4701.0
5844/	1988.0	1548.0	5932.0	2865.0	1893.0	8708.0	13972.0	10371.0	1975.0	10077.0	6756.0	6292.0	4506.0	10852.0	1889.0	3635.0	3221.0	2157.0	3741.0	1989.0	8328.0	2537.0	13707.0	9011.0	1947.0	12698.0	22230.0	11628.0	10928.0	8489.0	1207.0	2181.0	880.0	6244.0
5899/	2555.0	2345.0	6033.0	3073.0	1092.0	8634.0	13375.0	10288.0	1788.0	9873.0	7191.0	7024.0	5183.0	12201.0	2158.0	3722.0	3641.0	1967.0	2655.0	2089.0	9535.0	3873.0	12140.0	9811.0	1671.0	13289.0	20040.0	12544.0	11097.0	9934.0	998.0	1677.0	838.0	5680.0
5900/	2383.0	1276.0	8173.0	2803.0	1792.0	5866.0	15801.0	10656.0	2875.0	12487.0	5977.0	7440.0	5210.0	10551.0	1560.0	4301.0	4291.0	2968.0	3979.0	2429.0	11034.0	3063.0	14901.0	9392.0	1447.0	19267.0	26899.0	15786.0	12175.0	11847.0	1164.0	1863.0	1056.0	7303.0
5902/	2230.0	3570.0	5683.0	3507.0	1840.0	11616.0	16094.0	9675.0	2878.0	13751.0	8670.0	7249.0	5903.0	15670.0	1957.0	4915.0	3845.0	3227.0	4667.0	2542.0	10255.0	3224.0	17199.0	11013.0	2777.0	20787.0	22692.0	15440.0	11129.0	9799.0	1185.0	1169.0	883.0	7260.0
5953/	1785.0	2289.0	5950.0	2884.0	1203.0	8172.0	12124.0	7846.0	2246.0	11152.0	6237.0	6451.0	4800.0	11479.0	1685.0	3441.0	3231.0	3038.0	3494.0	2279.0	7300.0	2974.0	13257.0	8985.0	1722.0	16504.0	17679.0	13409.0	10650.0	8842.0	1165.0	1887.0	880.0	6445.0
5955/	2297.0	2175.0	6441.0	3018.0	1572.0	9439.0	12913.0	9699.0	2540.0	12089.0	7043.0	7501.0	4920.0	11419.0	2059.0	3046.0	3949.0	2398.0	3493.0	2145.0	9331.0	3006.0	13234.0	10709.0	2435.0	15899.0	20977.0	14347.0	10268.0	11361.0	1111.0	2413.0	811.0	6055.0
5977/	2863.0	1746.0	4496.0	3269.0	2085.0	10744.0	15504.0	13403.0	2419.0	10823.0	8162.0	6718.0	5254.0	11815.0	2012.0	3716.0	3955.0	3090.0	3526.0	2421.0	10420.0	3093.0	14004.0	9616.0	2033.0	18798.0	23627.0	13872.0	13101.0	10935.0	1210.0	2491.0	966.0	7010.0
6010/	2548.0	1906.0	6651.0	3992.0	821.0	9348.0	12540.0	8977.0	2467.0	11632.0	5799.0	7637.0	4648.0	11992.0	2314.0	3776.0	3713.0	2402.0	5054.0	2504.0	8638.0	2982.0	13107.0	9826.0	2003.0	15499.0	19724.0	11722.0	10764.0	9855.0	1056.0	1516.0	960.0	5916.0
6026/	3021.0	2727.0	4715.0	3065.0	1795.0	10395.0	15715.0	12198.0	3158.0	13398.0	7729.0	6896.0	5738.0	13597.0	2472.0	3332.0	3750.0	2754.0	4498.0	2182.0	9649.0	3034.0	13624.0	10221.0	2678.0	17615.0	21285.0	14371.0	11932.0	11370.0	1120.0	2532.0	1004.0	7199.0
