rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
5506/	673.0	614.0	788.0	833.0	517.0	1467.0	708.0	732.0	273.0	176.0	1168.0	892.0	202.0	689.0	2179.0	3402.0	253.0	256.0	1139.0	959.0	839.0	1820.0	621.0	1446.0	1683.0	1323.0	1364.0	1001.0	1465.0	1597.0	342.0	156.0	206.0	868.0	356.0	440.0	1305.0	1473.0	229.0	115.0	866.0	1709.0	1036.0	1558.0	1674.0	737.0	242.0	740.0	862.0	736.0	313.0	1356.0	1142.0	1197.0	229.0	1789.0	555.0	1014.0	375.0	417.0	1018.0	350.0	335.0	758.0	785.0	960.0	1581.0	1001.0	828.0	134.0	448.0	417.0	3007.0	195.0	66930.0
5514/	842.0	1089.0	890.0	903.0	814.0	1598.0	948.0	808.0	259.0	222.0	1520.0	844.0	236.0	1017.0	3116.0	4194.0	267.0	362.0	1981.0	1035.0	1345.0	1932.0	987.0	1971.0	2162.0	1606.0	1403.0	1456.0	1679.0	1821.0	460.0	281.0	260.0	1271.0	451.0	433.0	1686.0	1930.0	287.0	252.0	940.0	2094.0	1167.0	1738.0	1838.0	915.0	518.0	943.0	1079.0	706.0	524.0	1843.0	1395.0	2023.0	189.0	1898.0	1061.0	1083.0	819.0	535.0	1473.0	286.0	583.0	1204.0	1516.0	1123.0	1655.0	974.0	759.0	106.0	1008.0	885.0	4137.0	227.0	85859.4
5515/	747.0	910.0	863.0	896.0	1070.0	2157.0	1063.0	922.0	274.0	182.0	1466.0	905.0	258.0	1059.0	2954.0	5141.0	286.0	426.0	1695.0	1471.0	1318.0	2533.0	907.0	1673.0	2759.0	1928.0	1768.0	1387.0	2175.0	1878.0	549.0	300.0	320.0	1370.0	511.0	423.0	1532.0	2250.0	328.0	226.0	1033.0	2275.0	1229.0	2047.0	2454.0	1092.0	399.0	832.0	1111.0	393.0	420.0	1522.0	1950.0	1840.0	389.0	2412.0	784.0	1204.0	300.0	834.0	1545.0	328.0	711.0	1071.0	1933.0	992.0	1355.0	1274.0	1059.0	242.0	640.0	1170.0	4567.0	303.0	92586.0
5516/	681.0	812.0	794.0	906.0	701.0	1460.0	844.0	838.0	292.0	154.0	1134.0	734.0	177.0	607.0	2323.0	4428.0	277.0	400.0	1303.0	1197.0	1089.0	1943.0	707.0	1827.0	1936.0	1618.0	1543.0	1268.0	1855.0	2166.0	541.0	246.0	296.0	1244.0	419.0	628.0	1518.0	2110.0	232.0	120.0	1006.0	1823.0	1033.0	1434.0	2210.0	705.0	417.0	783.0	872.0	453.0	401.0	1103.0	1077.0	1589.0	97.0	2348.0	692.0	836.0	396.0	614.0	1115.0	280.0	449.0	1112.0	1333.0	918.0	1333.0	1002.0	1240.0	174.0	996.0	567.0	3870.0	245.0	77891.2
5518/	686.0	874.0	838.0	790.0	842.0	1645.0	943.0	1044.0	292.0	129.0	1154.0	744.0	196.0	857.0	2155.0	4513.0	284.0	386.0	1568.0	932.0	1292.0	1704.0	727.0	1648.0	1683.0	1622.0	1309.0	1429.0	1867.0	2057.0	442.0	209.0	277.0	1016.0	468.0	565.0	1238.0	2053.0	317.0	183.0	944.0	1870.0	1191.0	1412.0	2150.0	875.0	439.0	755.0	963.0	520.0	457.0	1606.0	1519.0	1650.0	185.0	1854.0	736.0	1001.0	490.0	554.0	1377.0	193.0	455.0	951.0	1604.0	902.0	1429.0	1020.0	929.0	220.0	630.0	811.0	3798.0	222.0	78685.8
5640/	647.0	886.0	1004.0	812.0	866.0	1956.0	931.0	959.0	403.0	222.0	1326.0	732.0	252.0	560.0	3056.0	5047.0	402.0	567.0	1631.0	1230.0	1525.0	1869.0	800.0	2029.0	2163.0	1700.0	1308.0	1655.0	2023.0	1558.0	525.0	278.0	266.0	1083.0	575.0	590.0	1497.0	1947.0	318.0	148.0	961.0	1934.0	1268.0	1388.0	2454.0	753.0	526.0	869.0	981.0	457.0	427.0	1312.0	1648.0	2623.0	223.0	2211.0	934.0	987.0	469.0	717.0	1544.0	350.0	747.0	1076.0	1182.0	1141.0	1343.0	1238.0	974.0	291.0	788.0	642.0	4362.0	225.0	86387.6
5649/	763.0	926.0	933.0	1121.0	1114.0	2202.0	1201.0	907.0	460.0	171.0	1072.0	865.0	196.0	760.0	3182.0	5292.0	373.0	491.0	1626.0	1026.0	1421.0	1592.0	1047.0	1928.0	2703.0	2228.0	1948.0	1686.0	2085.0	2206.0	469.0	352.0	283.0	1212.0	508.0	579.0	1761.0	2255.0	247.0	73.0	1020.0	2445.0	1164.0	1104.0	2651.0	704.0	521.0	873.0	1104.0	677.0	298.0	2021.0	1593.0	2259.0	333.0	2675.0	1109.0	1169.0	653.0	622.0	1591.0	370.0	603.0	1021.0	1547.0	1177.0	2166.0	1577.0	1107.0	217.0	1041.0	810.0	4689.0	249.0	94424.4
5754/	792.0	780.0	914.0	919.0	952.0	2296.0	1137.0	1014.0	352.0	159.0	1579.0	840.0	179.0	844.0	3281.0	5222.0	307.0	476.0	1683.0	1292.0	1248.0	2150.0	734.0	1819.0	2375.0	1754.0	1598.0	1581.0	1895.0	1570.0	454.0	195.0	257.0	1313.0	328.0	476.0	2276.0	1819.0	271.0	163.0	949.0	2408.0	1216.0	1695.0	2082.0	936.0	356.0	927.0	919.0	710.0	407.0	1368.0	1620.0	2278.0	266.0	2646.0	591.0	1192.0	624.0	763.0	1388.0	354.0	433.0	966.0	1678.0	1137.0	1990.0	1174.0	1248.0	250.0	709.0	1124.0	3846.0	182.0	89728.2
5755/	496.0	835.0	550.0	659.0	575.0	1375.0	689.0	667.0	235.0	94.0	993.0	598.0	184.0	707.0	1845.0	3610.0	252.0	313.0	887.0	1264.0	997.0	1547.0	676.0	1225.0	1395.0	1187.0	1521.0	1070.0	1328.0	1676.0	386.0	164.0	253.0	951.0	239.0	366.0	1030.0	1592.0	259.0	134.0	715.0	1788.0	1090.0	1243.0	1846.0	598.0	251.0	668.0	789.0	311.0	396.0	1012.0	1035.0	1285.0	192.0	1682.0	195.0	713.0	485.0	393.0	1141.0	228.0	339.0	585.0	818.0	744.0	1147.0	809.0	672.0	50.0	461.0	280.0	3284.0	162.0	62234.4
5771/	796.0	1101.0	1006.0	858.0	1000.0	1862.0	912.0	904.0	345.0	183.0	1496.0	869.0	254.0	812.0	2808.0	4937.0	328.0	467.0	968.0	1255.0	1468.0	2080.0	997.0	1734.0	2227.0	1927.0	1878.0	1466.0	1663.0	2089.0	545.0	279.0	297.0	1210.0	663.0	524.0	1652.0	1989.0	438.0	182.0	986.0	2174.0	1012.0	1557.0	2236.0	833.0	403.0	774.0	974.0	672.0	349.0	1363.0	1662.0	1712.0	198.0	2170.0	793.0	800.0	449.0	643.0	1453.0	288.0	593.0	792.0	1515.0	1033.0	2037.0	1050.0	841.0	290.0	827.0	750.0	4160.0	241.0	86100.2
5798/	48.0	77.0	142.0	91.0	348.0	195.0	143.0	71.0	0.0	0.0	187.0	56.0	159.0	41.0	409.0	1186.0	13.0	29.0	282.0	87.0	0.0	40.0	18.0	322.0	358.0	380.0	303.0	619.0	259.0	9.0	96.0	0.0	20.0	121.0	50.0	3.0	374.0	482.0	0.0	0.0	174.0	27.0	203.0	30.0	407.0	16.0	8.0	80.0	190.0	0.0	0.0	108.0	131.0	188.0	36.0	720.0	0.0	72.0	50.0	12.0	0.0	33.0	108.0	199.0	7.0	6.0	828.0	110.0	139.0	1.0	0.0	0.0	776.0	6.0	11682.3
5825/	671.0	684.0	857.0	922.0	737.0	1657.0	984.0	1044.0	381.0	165.0	914.0	871.0	225.0	719.0	2592.0	4197.0	287.0	355.0	1573.0	1030.0	944.0	1597.0	1000.0	1723.0	1525.0	1961.0	1735.0	1426.0	1908.0	1719.0	495.0	229.0	310.0	1174.0	312.0	516.0	1984.0	1569.0	283.0	119.0	1029.0	1769.0	1005.0	991.0	2087.0	883.0	308.0	796.0	829.0	917.0	247.0	1360.0	1386.0	1939.0	207.0	2141.0	861.0	913.0	662.0	389.0	1198.0	216.0	419.0	985.0	983.0	1245.0	2006.0	1274.0	1060.0	228.0	990.0	556.0	3641.0	268.0	79182.0
5843/	635.0	885.0	677.0	670.0	607.0	1378.0	799.0	653.0	184.0	109.0	943.0	630.0	160.0	772.0	1660.0	3018.0	224.0	286.0	1164.0	1031.0	1185.0	1527.0	577.0	1373.0	1583.0	1287.0	1303.0	978.0	1402.0	1525.0	373.0	33.0	178.0	1015.0	322.0	314.0	897.0	1450.0	210.0	111.0	784.0	1663.0	1043.0	1268.0	1869.0	612.0	294.0	651.0	714.0	316.0	155.0	1069.0	755.0	1071.0	149.0	1616.0	531.0	575.0	512.0	445.0	1066.0	162.0	301.0	631.0	1036.0	642.0	1146.0	949.0	771.0	108.0	481.0	390.0	3057.0	241.0	61196.0
5844/	567.0	809.0	678.0	706.0	662.0	1908.0	958.0	826.0	245.0	164.0	1441.0	662.0	192.0	559.0	2141.0	4265.0	277.0	343.0	1239.0	1111.0	1092.0	1803.0	776.0	1479.0	2033.0	1463.0	1600.0	1090.0	1749.0	1386.0	396.0	260.0	261.0	1178.0	415.0	329.0	1496.0	1686.0	303.0	128.0	825.0	1719.0	1242.0	1354.0	2163.0	856.0	350.0	752.0	888.0	788.0	323.0	970.0	1175.0	1677.0	348.0	1784.0	601.0	666.0	586.0	589.0	1060.0	253.0	367.0	887.0	1454.0	700.0	988.0	853.0	1385.0	223.0	783.0	656.0	3441.0	138.0	73520.7
5899/	608.0	794.0	833.0	927.0	797.0	1886.0	1071.0	1079.0	284.0	127.0	1292.0	759.0	200.0	475.0	2277.0	4127.0	204.0	332.0	1591.0	1141.0	1036.0	1814.0	751.0	1603.0	1519.0	1856.0	1699.0	1395.0	1458.0	1385.0	525.0	213.0	244.0	1158.0	422.0	589.0	1388.0	1975.0	216.0	102.0	944.0	1826.0	1209.0	1539.0	1989.0	1093.0	372.0	817.0	787.0	553.0	306.0	1220.0	1166.0	2072.0	664.0	1993.0	486.0	908.0	424.0	577.0	1081.0	137.0	471.0	883.0	1570.0	880.0	1608.0	1092.0	810.0	237.0	737.0	841.0	3625.0	174.0	77239.5
5900/	646.0	723.0	923.0	938.0	1121.0	2077.0	1265.0	1130.0	380.0	279.0	967.0	920.0	256.0	596.0	3172.0	4827.0	343.0	444.0	1997.0	1660.0	1120.0	1683.0	857.0	1879.0	1643.0	2119.0	1568.0	1590.0	1738.0	1648.0	640.0	321.0	278.0	1286.0	487.0	688.0	2035.0	1870.0	225.0	128.0	1174.0	2903.0	1345.0	1314.0	2430.0	889.0	586.0	901.0	925.0	855.0	100.0	1684.0	1760.0	2326.0	298.0	2372.0	568.0	1636.0	453.0	646.0	1097.0	333.0	372.0	700.0	1357.0	1057.0	1870.0	1313.0	1155.0	135.0	844.0	644.0	3398.0	238.0	88146.1
5902/	686.0	1112.0	858.0	1003.0	793.0	2190.0	1446.0	1271.0	415.0	174.0	1682.0	900.0	263.0	635.0	2977.0	4499.0	285.0	389.0	1653.0	1196.0	1370.0	2043.0	815.0	2183.0	2038.0	1897.0	1997.0	1544.0	2058.0	1705.0	505.0	281.0	305.0	1287.0	335.0	482.0	1570.0	2280.0	310.0	156.0	846.0	2544.0	1191.0	1753.0	2360.0	967.0	474.0	786.0	1011.0	504.0	424.0	1698.0	1983.0	1488.0	366.0	2323.0	740.0	1071.0	742.0	604.0	1271.0	300.0	485.0	1094.0	1596.0	1337.0	1847.0	1383.0	1054.0	162.0	1028.0	832.0	3650.0	183.0	89684.8
5953/	588.0	700.0	759.0	829.0	772.0	1406.0	921.0	916.0	295.0	150.0	1309.0	716.0	206.0	660.0	2842.0	3700.0	274.0	342.0	1616.0	1059.0	1393.0	1793.0	661.0	1897.0	1433.0	1742.0	1635.0	1130.0	1778.0	1680.0	369.0	198.0	249.0	1117.0	263.0	451.0	1138.0	1796.0	173.0	109.0	899.0	1906.0	1125.0	1592.0	2109.0	847.0	486.0	841.0	920.0	492.0	511.0	1361.0	1626.0	1458.0	467.0	2204.0	598.0	1170.0	601.0	622.0	1343.0	352.0	395.0	1045.0	1354.0	1025.0	1336.0	1043.0	690.0	297.0	696.0	738.0	3316.0	145.0	76677.5
5955/	751.0	1094.0	656.0	924.0	723.0	1537.0	1051.0	985.0	299.0	176.0	1296.0	746.0	200.0	472.0	2353.0	3900.0	297.0	370.0	1343.0	1255.0	1050.0	2028.0	827.0	1571.0	1676.0	1773.0	1489.0	1169.0	1674.0	1775.0	440.0	192.0	206.0	901.0	389.0	449.0	1515.0	1802.0	183.0	92.0	807.0	1896.0	920.0	1554.0	1829.0	780.0	413.0	688.0	811.0	694.0	405.0	1501.0	1320.0	1613.0	367.0	2100.0	715.0	1060.0	395.0	370.0	1277.0	338.0	446.0	872.0	1406.0	1157.0	1688.0	1043.0	1030.0	211.0	997.0	650.0	3225.0	162.0	76370.2
5977/	703.0	801.0	957.0	1310.0	826.0	1854.0	1319.0	974.0	378.0	188.0	1419.0	701.0	198.0	558.0	2754.0	4435.0	385.0	425.0	1493.0	1196.0	1349.0	1845.0	787.0	1909.0	1937.0	1968.0	1442.0	1404.0	1742.0	1847.0	504.0	224.0	293.0	1309.0	541.0	582.0	1938.0	1856.0	215.0	113.0	1072.0	2218.0	1212.0	1713.0	2086.0	792.0	392.0	808.0	863.0	524.0	352.0	1501.0	1432.0	1715.0	331.0	1982.0	737.0	1045.0	481.0	847.0	1507.0	386.0	445.0	1207.0	1518.0	994.0	1904.0	1271.0	785.0	290.0	557.0	978.0	4594.0	184.0	85402.4
6010/	585.0	1121.0	1097.0	879.0	704.0	1503.0	947.0	872.0	368.0	220.0	1319.0	747.0	306.0	1082.0	2641.0	3931.0	224.0	341.0	1398.0	1215.0	1206.0	1908.0	721.0	1391.0	1890.0	1664.0	1407.0	1279.0	1605.0	1693.0	475.0	267.0	209.0	1283.0	254.0	652.0	1335.0	1708.0	318.0	133.0	1108.0	2153.0	1133.0	1305.0	1845.0	858.0	336.0	672.0	905.0	581.0	351.0	1257.0	1185.0	1651.0	82.0	1915.0	689.0	1120.0	588.0	695.0	1182.0	393.0	330.0	515.0	1317.0	885.0	1222.0	1203.0	978.0	181.0	911.0	416.0	3665.0	242.0	76764.5
6026/	751.0	945.0	694.0	1125.0	976.0	2153.0	1025.0	1052.0	496.0	151.0	1445.0	811.0	275.0	885.0	2497.0	4626.0	306.0	433.0	1810.0	1091.0	1402.0	1832.0	923.0	1822.0	1715.0	2071.0	1864.0	1282.0	1683.0	1808.0	584.0	252.0	242.0	1307.0	589.0	516.0	1939.0	2565.0	346.0	114.0	1058.0	2307.0	1171.0	1633.0	2194.0	942.0	434.0	936.0	1011.0	930.0	294.0	1313.0	1694.0	2048.0	458.0	2491.0	1152.0	1108.0	862.0	741.0	1508.0	228.0	651.0	949.0	1528.0	1163.0	2078.0	1163.0	869.0	309.0	1056.0	1046.0	4497.0	294.0	90520.9
6028/	706.0	852.0	651.0	971.0	748.0	1685.0	903.0	835.0	372.0	164.0	1249.0	911.0	201.0	618.0	2558.0	4182.0	335.0	432.0	1357.0	925.0	1114.0	1681.0	765.0	1665.0	1745.0	1647.0	1218.0	1236.0	1483.0	1675.0	473.0	237.0	229.0	1028.0	501.0	516.0	1693.0	1912.0	206.0	156.0	880.0	2191.0	1274.0	1632.0	1541.0	680.0	323.0	653.0	775.0	648.0	428.0	1194.0	1112.0	1529.0	228.0	1373.0	519.0	833.0	361.0	813.0	1269.0	245.0	489.0	773.0	1286.0	733.0	1955.0	899.0	702.0	210.0	712.0	1037.0	3916.0	158.0	75207.4
6033/	591.0	1190.0	1004.0	754.0	861.0	1726.0	776.0	843.0	235.0	167.0	1507.0	833.0	225.0	777.0	2077.0	4515.0	296.0	376.0	1365.0	1205.0	999.0	1888.0	670.0	1639.0	1805.0	1698.0	1684.0	1137.0	1626.0	1524.0	463.0	185.0	211.0	991.0	543.0	536.0	1374.0	1765.0	267.0	159.0	885.0	2056.0	1158.0	1480.0	1828.0	788.0	404.0	657.0	898.0	561.0	265.0	1167.0	1235.0	1566.0	98.0	2301.0	721.0	894.0	569.0	642.0	1453.0	188.0	478.0	760.0	1337.0	691.0	1344.0	1047.0	1065.0	191.0	518.0	599.0	4304.0	156.0	76793.5
6034/	741.0	816.0	845.0	1095.0	847.0	1867.0	1031.0	893.0	370.0	196.0	1721.0	1055.0	312.0	1124.0	2951.0	5589.0	401.0	404.0	1740.0	1360.0	1199.0	2257.0	888.0	2109.0	2418.0	1482.0	1907.0	1507.0	1916.0	2092.0	504.0	217.0	291.0	1390.0	583.0	488.0	1717.0	2236.0	368.0	136.0	959.0	2750.0	1336.0	2105.0	2050.0	866.0	392.0	844.0	1101.0	654.0	386.0	1927.0	1509.0	1840.0	207.0	2259.0	913.0	1588.0	653.0	795.0	1657.0	408.0	593.0	935.0	1670.0	1236.0	1855.0	1444.0	923.0	224.0	687.0	880.0	4623.0	155.0	93484.0
6035/	607.0	918.0	946.0	1187.0	873.0	2371.0	1105.0	1005.0	324.0	255.0	1703.0	1142.0	314.0	990.0	3810.0	5752.0	350.0	591.0	1867.0	1311.0	1041.0	2229.0	1002.0	2061.0	2985.0	1743.0	1767.0	1574.0	2272.0	2212.0	537.0	303.0	326.0	1497.0	490.0	709.0	2291.0	2472.0	292.0	149.0	1155.0	2119.0	1200.0	1985.0	2427.0	1086.0	465.0	937.0	1239.0	864.0	515.0	1748.0	1847.0	2201.0	283.0	2407.0	819.0	1257.0	784.0	912.0	1294.0	284.0	546.0	1132.0	1655.0	1261.0	1521.0	1372.0	1379.0	271.0	688.0	1089.0	5168.0	167.0	99448.0
6040/	727.0	873.0	696.0	743.0	846.0	2279.0	1019.0	916.0	322.0	177.0	1760.0	1057.0	307.0	1075.0	3518.0	5337.0	357.0	553.0	1795.0	1739.0	1808.0	2590.0	1133.0	2086.0	2391.0	1895.0	2226.0	1694.0	2107.0	2092.0	468.0	365.0	321.0	1373.0	494.0	660.0	1526.0	2212.0	275.0	201.0	1011.0	2765.0	1225.0	2124.0	2251.0	703.0	402.0	790.0	1022.0	554.0	435.0	1921.0	1800.0	2038.0	417.0	2368.0	764.0	1628.0	617.0	928.0	1657.0	390.0	538.0	1021.0	1672.0	1122.0	1767.0	1137.0	1228.0	174.0	961.0	683.0	5058.0	190.0	97372.4
6044/	752.0	916.0	815.0	802.0	645.0	1673.0	893.0	1010.0	298.0	214.0	1490.0	853.0	176.0	798.0	2590.0	4285.0	369.0	388.0	1732.0	991.0	1091.0	2191.0	847.0	1715.0	1794.0	1471.0	1217.0	1409.0	1682.0	1348.0	515.0	186.0	266.0	1249.0	443.0	373.0	1316.0	1716.0	324.0	166.0	854.0	2277.0	931.0	1766.0	2413.0	903.0	358.0	836.0	1073.0	520.0	413.0	1571.0	1524.0	2077.0	149.0	1670.0	1094.0	856.0	511.0	611.0	1079.0	210.0	447.0	997.0	1296.0	972.0	1541.0	943.0	842.0	198.0	634.0	660.0	4355.0	185.0	79777.8
6045/	812.0	1318.0	871.0	798.0	1149.0	1933.0	1140.0	1101.0	389.0	153.0	1322.0	899.0	264.0	750.0	3319.0	4672.0	275.0	379.0	1541.0	1085.0	1374.0	1756.0	1186.0	1754.0	2498.0	1719.0	1432.0	1528.0	2020.0	1797.0	495.0	220.0	253.0	1153.0	449.0	645.0	1618.0	1928.0	289.0	132.0	945.0	2471.0	989.0	1525.0	2486.0	936.0	459.0	743.0	879.0	552.0	459.0	1775.0	1986.0	1741.0	333.0	1657.0	850.0	837.0	713.0	700.0	1553.0	290.0	423.0	1124.0	1390.0	1026.0	1605.0	1414.0	907.0	259.0	1017.0	713.0	4349.0	169.0	87691.7
6050/	249.0	247.0	547.0	236.0	268.0	694.0	381.0	442.0	83.0	10.0	312.0	229.0	122.0	346.0	932.0	2216.0	342.0	163.0	507.0	628.0	402.0	462.0	717.0	968.0	891.0	703.0	766.0	825.0	1111.0	1217.0	343.0	58.0	111.0	798.0	224.0	184.0	472.0	550.0	91.0	17.0	644.0	861.0	486.0	324.0	683.0	766.0	118.0	299.0	377.0	212.0	48.0	369.0	489.0	647.0	84.0	835.0	287.0	350.0	123.0	117.0	342.0	76.0	272.0	427.0	549.0	137.0	863.0	380.0	494.0	32.0	717.0	344.0	1404.0	57.0	34075.8
6057/	701.0	833.0	811.0	691.0	858.0	1478.0	952.0	742.0	241.0	146.0	1145.0	775.0	165.0	631.0	2167.0	4222.0	245.0	342.0	1297.0	1114.0	1075.0	1699.0	671.0	1555.0	1985.0	1436.0	1675.0	1244.0	1559.0	1628.0	395.0	176.0	229.0	1159.0	382.0	397.0	1360.0	1544.0	232.0	186.0	887.0	1744.0	1006.0	1089.0	1863.0	804.0	321.0	704.0	794.0	609.0	334.0	1364.0	1567.0	1817.0	470.0	1898.0	702.0	719.0	392.0	664.0	1202.0	258.0	376.0	848.0	1218.0	778.0	1189.0	1196.0	606.0	231.0	562.0	830.0	3676.0	172.0	73031.7
6058/	470.0	725.0	902.0	704.0	594.0	1717.0	1005.0	888.0	268.0	194.0	1413.0	1030.0	213.0	880.0	2155.0	4367.0	243.0	386.0	1821.0	1079.0	882.0	2145.0	950.0	1644.0	1478.0	1874.0	1506.0	1111.0	1486.0	1844.0	413.0	193.0	206.0	1066.0	278.0	349.0	1576.0	1928.0	237.0	143.0	745.0	1950.0	1000.0	1448.0	2215.0	911.0	396.0	867.0	914.0	598.0	408.0	1387.0	1225.0	1765.0	436.0	2010.0	848.0	1156.0	378.0	501.0	1244.0	323.0	467.0	842.0	1479.0	942.0	1535.0	970.0	795.0	289.0	721.0	815.0	3994.0	205.0	78142.6
6060/	643.0	779.0	888.0	791.0	843.0	1572.0	1083.0	1048.0	397.0	158.0	1391.0	1055.0	190.0	698.0	2608.0	4412.0	299.0	409.0	1001.0	1180.0	1266.0	2004.0	942.0	1820.0	2311.0	1965.0	1298.0	1177.0	1715.0	1654.0	474.0	229.0	212.0	1064.0	311.0	689.0	1508.0	1766.0	281.0	163.0	1078.0	2073.0	1438.0	1685.0	1884.0	821.0	308.0	647.0	935.0	569.0	240.0	1641.0	1237.0	1849.0	566.0	1719.0	753.0	774.0	226.0	714.0	1355.0	134.0	462.0	1001.0	1373.0	1091.0	1417.0	1677.0	898.0	263.0	670.0	524.0	3616.0	184.0	80115.9
6102/	554.0	732.0	899.0	962.0	755.0	2032.0	1328.0	1214.0	356.0	148.0	1326.0	895.0	157.0	840.0	3552.0	4285.0	312.0	441.0	1631.0	1213.0	1152.0	2051.0	985.0	1832.0	1712.0	1303.0	1756.0	1277.0	1938.0	1582.0	524.0	272.0	229.0	1176.0	400.0	551.0	1665.0	2059.0	346.0	170.0	1032.0	1905.0	924.0	1638.0	2357.0	1106.0	432.0	991.0	1009.0	507.0	354.0	1639.0	1548.0	1918.0	274.0	1870.0	718.0	786.0	798.0	542.0	1473.0	291.0	538.0	1005.0	1656.0	1152.0	1381.0	1566.0	1144.0	191.0	519.0	776.0	4177.0	193.0	85025.8
6103/	753.0	962.0	822.0	983.0	974.0	2306.0	1439.0	1314.0	344.0	180.0	1614.0	792.0	228.0	728.0	3087.0	4953.0	351.0	421.0	1560.0	1280.0	1345.0	2167.0	1107.0	1995.0	1853.0	1879.0	2213.0	1424.0	1989.0	1888.0	534.0	190.0	275.0	1210.0	569.0	536.0	1882.0	2142.0	333.0	200.0	1004.0	2240.0	1185.0	1879.0	2382.0	984.0	375.0	930.0	931.0	655.0	459.0	1484.0	1769.0	1931.0	157.0	3296.0	586.0	1155.0	608.0	578.0	1565.0	278.0	642.0	1075.0	1634.0	1116.0	2006.0	1143.0	954.0	268.0	687.0	1389.0	4723.0	239.0	93131.2
6105/	806.0	793.0	828.0	1044.0	731.0	2498.0	1328.0	1228.0	279.0	185.0	1502.0	996.0	257.0	725.0	3073.0	4858.0	296.0	480.0	1916.0	1249.0	1162.0	2007.0	889.0	2182.0	2201.0	1724.0	1568.0	1526.0	1604.0	1764.0	451.0	288.0	339.0	1472.0	425.0	586.0	1580.0	2393.0	283.0	64.0	1083.0	2146.0	1195.0	1802.0	2190.0	997.0	580.0	1046.0	1082.0	530.0	408.0	1615.0	2003.0	2031.0	232.0	2328.0	831.0	1119.0	575.0	502.0	1767.0	284.0	448.0	1045.0	1505.0	838.0	1670.0	1234.0	877.0	231.0	732.0	984.0	5089.0	253.0	90828.2
6138/	567.0	688.0	1017.0	706.0	653.0	1754.0	884.0	718.0	221.0	139.0	1267.0	685.0	208.0	499.0	2107.0	3709.0	237.0	303.0	1185.0	975.0	1472.0	1951.0	703.0	1431.0	1718.0	1630.0	1283.0	1300.0	1541.0	1471.0	485.0	191.0	209.0	964.0	328.0	450.0	1272.0	1652.0	213.0	122.0	854.0	1850.0	1101.0	1129.0	1893.0	755.0	303.0	687.0	683.0	450.0	226.0	1196.0	1321.0	1411.0	258.0	2102.0	561.0	758.0	568.0	603.0	1077.0	342.0	487.0	868.0	1263.0	758.0	1440.0	966.0	1162.0	321.0	867.0	615.0	3324.0	157.0	71267.5
