lh.BA.volume	lh_BA1_volume	lh_BA2_volume	lh_BA3a_volume	lh_BA3b_volume	lh_BA4a_volume	lh_BA4p_volume	lh_BA6_volume	lh_BA44_volume	lh_BA45_volume	lh_V1_volume	lh_V2_volume	lh_MT_volume	lh_perirhinal_volume
7105/	1555.0	5228.0	853.0	3096.0	2660.0	2152.0	18644.0	4421.0	5394.0	4285.0	10822.0	3785.0	2198.0
7106/	1745.0	4884.0	854.0	3071.0	3194.0	2016.0	20326.0	4348.0	5977.0	3306.0	10807.0	2976.0	2121.0
7108/	1846.0	5408.0	1020.0	3401.0	2698.0	1748.0	17622.0	4335.0	5176.0	5158.0	12724.0	3095.0	2678.0
7151/	1791.0	5857.0	954.0	3611.0	3240.0	2282.0	20495.0	5205.0	6936.0	4647.0	13462.0	3308.0	2919.0
7152/	1665.0	5774.0	908.0	3029.0	2948.0	1886.0	15374.0	4086.0	3909.0	3463.0	10917.0	3072.0	1870.0
7163/	1893.0	5515.0	894.0	3510.0	3176.0	2197.0	17395.0	5252.0	6658.0	4306.0	13054.0	3850.0	2910.0
7168/	2129.0	6541.0	838.0	3565.0	3465.0	1965.0	27406.0	7046.0	7366.0	4701.0	14008.0	4432.0	3841.0
7170/	1825.0	5526.0	896.0	3317.0	3543.0	2336.0	25907.0	6618.0	8275.0	3976.0	13842.0	4368.0	2592.0
7206/	1769.0	5138.0	759.0	3321.0	2932.0	1798.0	19747.0	4795.0	5212.0	4338.0	10723.0	3192.0	3510.0
7207/	1498.0	4646.0	698.0	3105.0	2707.0	1724.0	19230.0	4750.0	5263.0	3604.0	11401.0	3046.0	2734.0
7229/	2088.0	5989.0	824.0	3353.0	3091.0	1814.0	19641.0	4471.0	5512.0	4115.0	10888.0	3252.0	2404.0
7230/	2124.0	5636.0	1187.0	4217.0	3932.0	2093.0	22075.0	5678.0	5697.0	5333.0	12662.0	3472.0	2158.0
7286/	1858.0	6815.0	897.0	3466.0	3537.0	2049.0	23559.0	5215.0	6661.0	4384.0	12854.0	3439.0	4062.0
7287/	2132.0	7181.0	925.0	4604.0	3898.0	2051.0	25552.0	5331.0	7175.0	4433.0	14602.0	4453.0	3891.0
7289/	1908.0	6567.0	938.0	3586.0	3095.0	2291.0	20053.0	4958.0	5974.0	3485.0	11846.0	3106.0	2930.0
7290/	1551.0	5076.0	760.0	2680.0	2721.0	1689.0	18279.0	4013.0	6429.0	4096.0	10896.0	2815.0	2523.0
7293/	2254.0	8188.0	902.0	3852.0	3613.0	1881.0	22240.0	5280.0	7134.0	4577.0	12058.0	3397.0	2338.0
7321/	1962.0	5896.0	813.0	3576.0	3296.0	1981.0	21772.0	6155.0	6952.0	5028.0	12446.0	3011.0	3165.0
