rh.BA.area	rh_BA1_area	rh_BA2_area	rh_BA3a_area	rh_BA3b_area	rh_BA4a_area	rh_BA4p_area	rh_BA6_area	rh_BA44_area	rh_BA45_area	rh_V1_area	rh_V2_area	rh_MT_area	rh_perirhinal_area	rh_WhiteSurfArea_area
6955/	564.0	2018.0	741.0	1516.0	930.0	860.0	5532.0	2869.0	3442.0	2993.0	6265.0	1854.0	539.0	97782.9
6957/	463.0	2015.0	665.0	1147.0	764.0	761.0	4717.0	2155.0	2310.0	2261.0	4313.0	1132.0	434.0	79420.4
6958/	430.0	1686.0	627.0	1263.0	966.0	803.0	5515.0	2181.0	3011.0	2725.0	5434.0	1402.0	446.0	86786.6
6964/	481.0	1815.0	593.0	1089.0	765.0	698.0	4791.0	2628.0	2283.0	1872.0	4758.0	1342.0	432.0	80924.6
6965/	530.0	2220.0	697.0	1331.0	1004.0	871.0	6938.0	2598.0	3049.0	2537.0	5048.0	1968.0	529.0	100989.0
6983/	629.0	2278.0	890.0	1574.0	1013.0	958.0	5342.0	2097.0	3172.0	3308.0	6144.0	1298.0	420.0	96106.4
6985/	416.0	1489.0	710.0	1314.0	929.0	917.0	5114.0	2530.0	2731.0	2393.0	5165.0	1270.0	460.0	84274.6
7105/	486.0	1864.0	724.0	1332.0	874.0	808.0	4877.0	2541.0	2493.0	2859.0	5220.0	1173.0	293.0	78158.7
7106/	436.0	1809.0	733.0	1279.0	1022.0	943.0	5671.0	2112.0	3180.0	2255.0	4444.0	987.0	345.0	80796.0
7108/	483.0	2022.0	782.0	1512.0	846.0	852.0	4698.0	2354.0	2376.0	2505.0	4844.0	1305.0	404.0	84605.4
7151/	514.0	2245.0	708.0	1371.0	1022.0	896.0	6125.0	3037.0	3120.0	2782.0	5934.0	1700.0	393.0	95428.6
7152/	437.0	1671.0	721.0	1227.0	783.0	807.0	4572.0	1806.0	2616.0	2517.0	5192.0	1217.0	332.0	77944.6
7163/	641.0	2302.0	783.0	1345.0	1043.0	896.0	5729.0	2983.0	3600.0	2764.0	6319.0	1463.0	346.0	97041.0
7168/	649.0	2583.0	730.0	1319.0	1182.0	907.0	6617.0	3007.0	2859.0	2773.0	6630.0	1730.0	442.0	105741.0
7170/	639.0	2236.0	746.0	1454.0	1118.0	839.0	6192.0	2565.0	3211.0	2403.0	5585.0	1592.0	471.0	100812.0
7206/	428.0	2031.0	652.0	1124.0	806.0	723.0	4804.0	2220.0	2919.0	2259.0	4521.0	1182.0	472.0	83782.8
7207/	444.0	1823.0	587.0	1235.0	863.0	674.0	4892.0	2594.0	3069.0	2428.0	5242.0	1265.0	402.0	84979.6
7229/	532.0	2295.0	699.0	1412.0	1095.0	840.0	5444.0	2697.0	3123.0	2653.0	5288.0	1291.0	383.0	88456.3
7230/	656.0	2476.0	778.0	1647.0	1226.0	984.0	6144.0	3411.0	3089.0	3409.0	6505.0	1197.0	400.0	97479.7
7286/	572.0	2175.0	660.0	1301.0	907.0	712.0	5565.0	2696.0	3117.0	2429.0	5128.0	1363.0	550.0	91902.4
7287/	594.0	2111.0	738.0	1423.0	941.0	858.0	6548.0	2677.0	3499.0	2555.0	5412.0	1395.0	519.0	101089.0
7289/	602.0	2256.0	725.0	1379.0	956.0	846.0	5025.0	2684.0	3453.0	2925.0	5553.0	890.0	403.0	93498.8
7290/	411.0	1852.0	588.0	1075.0	833.0	687.0	5849.0	2133.0	2579.0	2337.0	4255.0	941.0	413.0	78261.2
7293/	607.0	2407.0	693.0	1275.0	832.0	799.0	4948.0	2557.0	2797.0	2326.0	4876.0	1291.0	362.0	84830.5
7321/	476.0	2219.0	657.0	1291.0	896.0	761.0	5104.0	2333.0	2996.0	2619.0	5486.0	1285.0	417.0	88784.1
7341/	466.0	1659.0	715.0	1254.0	973.0	775.0	5573.0	2792.0	2844.0	2821.0	5601.0	1165.0	427.0	86570.2
7366/	662.0	2127.0	981.0	1650.0	1433.0	1267.0	4991.0	2573.0	3022.0	2674.0	5061.0	1428.0	471.0	93313.1
7367/	746.0	2881.0	696.0	1510.0	938.0	850.0	5627.0	3236.0	3541.0	2947.0	6162.0	1493.0	577.0	109297.0
7368/	646.0	2202.0	834.0	1551.0	1251.0	992.0	5144.0	2324.0	3000.0	2709.0	5588.0	1557.0	450.0	98140.9
7516/	583.0	2495.0	770.0	1449.0	1286.0	983.0	5387.0	2454.0	3244.0	2988.0	6349.0	1282.0	483.0	93045.3
